cct,nombre,
07DCC0306B,JOAQUIN MIGUEL GUTIERREZ,
07DCC0307A,LAZARO CARDENAS DEL RIO,
07DCC0308Z,JUAN ESCUTIA,
07DCC0309Z,NIÑOS HEROES,
07DCC0313L,LIC. JESUS REYES HEROLES,
07DCC0314K,VASCO DE QUIROGA,
07DCC0315J,LA CONSTITUCION,
07DCC0320V,LA CONSTITUCION,
07DCC0321U,PLAN DE AYALA,
07DCC0325Q,LOS NIÑOS HEROES,
07DCC0326P,JOSE CLEMENTE OROZCO,
07DCC0331A,JOSE VASCONCELOS CALDERON,
07DCC0335X,LA CORREGIDORA,
07DCC0336W,ANDRES QUINTANA ROO,
07DCC0337V,NICOLAS BRAVO,
07DCC0339T,EMILIANO ZAPATA SALAZAR,
07DCC0341H,LOS NIÑOS HEROES,
07DCC0343F,MIGUEL HIDALGO Y COSTILLA,
07DCC0345D,CHIMALPOPOCA,
07DCC0348A,RICARDO FLORES MAGON,
07DCC0350P,VALENTIN GOMEZ FARIAS,
07DCC0355K,NIÑOS HEROES,
07DCC0357I,VICENTE SUAREZ,
07DCC0359G,EMILIO RABASA ESTEBANELL,
07DCC0362U,JUAN ESCUTIA,
07DCC0365R,LAZARO CARDENAS DEL RIO,
07DCC0371B,CARMEN SERDAN ALATRISTE,
07DCC0374Z,PESTALOZZI,
07DCC0380J,LEONA VICARIO,
07DCC0383G,JACINTO CANEK,
07DCC0385E,JOSEFA ORTIZ DE DOMINGUEZ,
07DCC0386D,EL NIÑO ARTILLERO,
07DCC0388B,MELCHOR OCAMPO,
07DCC0390Q,JUAN DE LA BARRERA,
07DCC0392O,IGNACIO MANUEL ALTAMIRANO,
07DCC0394M,FRANCISCO INDALECIO MADERO,
07DCC0396K,DIEGO RODRIGUEZ,
07DCC0398I,JUAN ESCUTIA,
07DCC0401F,JUVENTINO ROSAS,
07DCC0402E,CHIAPAS,
07DCC0403D,LEONA VICARIO,
07DCC0405B,NIÑOS HEROES,
07DCC0406A,MARIANO MATAMOROS,
07DCC0407Z,MELCHOR OCAMPO,
07DCC0411M,LIC. BENITO JUAREZ GARCIA,
07DCC0414J,JUAN ESCUTIA,
07DCC0416H,JAIME NUNO,
07DCC0422S,PROFR. FIDENCIO MONTES,
07DCC0427N,ADOLFO LOPEZ MATEOS,
07DCC0429L,FRANCISCO INDALECIO MADERO,
07DCC0431Z,FRAY BARTOLOME DE LAS CASAS,
07DCC0432Z,CUAUHTEMOC,
07DCC0433Y,JUAN ESCUTIA,
07DCC0434X,AGUSTIN YANEZ,
07DCC0435W,14 DE SEPTIEMBRE,
07DCC0438T,JOSE SANTOS DEGOLLADO,
07DCC0440H,VALENTIN GOMEZ FARIAS,
07DCC0441G,AGUSTIN MELGAR,
07DCC0443E,ACAMAPICHTLI,
07DCC0444D,AQUILES SERDAN,
07DCC0446B,BENEMERITO DE LAS AMERICAS,
07DCC0450O,JAIME NUNO,
07DCC0451N,FRANCISCO GONZALEZ BOCANEGRA,
07DCC0455J,LAZARO CARDENAS DEL RIO,
07DCC0456I,LEONA VICARIO,
07DCC0460V,JUAN ALDAMA,
07DCC0464R,EL AGRARISTA,
07DCC0467O,LAS AMERICAS,
07DCC0471A,MELCHOR OCAMPO,
07DCC0474Y,LUZ EN LA MONTAÑA,
07DCC0478U,SEBASTIAN LOPEZ CHIC,
07DCC0479T,MARCOS ENCINOS,
07DCC0480I,PATRIA Y LIBERTAD,
07DCC0484E,EL PIPILA,
07DCC0486C,EL BENEMERITO,
07DCC0490P,RICARDO FLORES MAGON,
07DCC0493M,GUILLERMO PRIETO,
