nombre
PREESCOLAR CONAFE INDIGENA
"JARDIN   DE   NIÑOS   COMUNITARIO   BELISARIO
DOMINGUEZ PALENCIA"
PREESCOLAR CONAFE INDIGENA
PRIMARIA CONAFE INDIGENA
FRAY PEDRO DE GANTE
"TELESECUNDARIA  771  LUIS  DONALDO  COLOSIO
MURRIETA"
MARIA MONTESSORI
LEONA VICARIO
NARCISO MENDOZA
PREESCOLAR CONAFE INDIGENA
"TELESECUNDARIA   727   ROSARIO   CASTELLANOS
FIGUEROA"
"JARDIN  DE  NIÑOS  COMUNITARIO VICENTE RIVA
PALACIO"
AMADO NERVO
PEDRO MORENO
TELESECUNDARIA 1017 JUSTO SIERRA MENDEZ
EL SENDERO DEL SABER
"TELESECUNDARIA      554      EMILIANO      ZAPATA
SALAZAR"
"TELESECUNDARIA    728    MIGUEL    HIDALGO    Y
COSTILLA"
MARIA MONTESSORI
MARGARITA MAZA DE JUAREZ
PREESCOLAR CONAFE INDIGENA
PRIMARIA COMUNITARIA INDEPENDENCIA
JUSTO SIERRA MENDEZ
"PRIMARIA COMUNITARIA JOSE MARIA MORELOS
Y PAVON"
JARDIN DE NIÑOS COMUNITARIO 10 DE MAYO
15 DE SEPTIEMBRE
VICENTE SUAREZ
"JARDIN      DE      NIÑOS      COMUNITARIO      JOSE
GUADALUPE POSADA"
PRIMARIA COMUNITARIA OCTAVIO PAZ LOZANO
PREESCOLAR CONAFE INDIGENA
JUSTO SIERRA MENDEZ
"TELESECUNDARIA 1305 VENUSTIANO CARRANZA
GARZA"
VICENTE RIVA PALACIO
ANTONIO LOPEZ DE SANTA ANNA
LIC. BENITO JUAREZ GARCIA
IGNACIO MANUEL ALTAMIRANO
BENITO JUAREZ GARCIA
"JARDIN    DE    NIÑOS    COMUNITARIO   RODULFO
FIGUEROA ESQUINCA"
ROSARIO CASTELLANOS FIGUEROA
JUAN ESCUTIA
GENERAL FRANCISCO VILLA
TELESECUNDARIA 769 LEONARDO DA VINCI
FRANCISCO GONZALEZ BOCANEGRA
TELESECUNDARIA 1052 JAIME TORRES BODET
PEDRO MARIA ANAYA
MARGARITA MAZA DE JUAREZ
"TELESECUNDARIA     1389     JOSEFA     ORTIZ     DE
DOMINGUEZ"
JOSE MARTI
LAZARO CARDENAS DEL RIO
"TELESECUNDARIA       860       RAFAEL       RAMIREZ
CASTAÑEDA"
TELESECUNDARIA 1430 FRANCISCO VILLA
JAIME SABINES GUTIERREZ
IGNACIO ZARAGOZA
"JARDIN    DE    NIÑOS    COMUNITARIO    CARLOS
PELLICER CAMARA"
GABRIELA MISTRAL
ANTONIO VIVALDI
MARIA ROSAURA ZAPATA CANO
CUAUHTEMOC
FRANCISCO INDALECIO MADERO
DR. MANUEL GAMIO
SECUNDARIA CONAFE INDÍGENA
PREESCOLAR CONAFE INDIGENA
MI BANDERA
MEXICO
NIÑOS HEROES
TELESECUNDARIA 881 VICENTE GUERRERO
CINCO DE MAYO
PREESCOLAR CONAFE INDIGENA
PRIMARIA CONAFE INDIGENA
TELESECUNDARIA 944 MOISES SAENZ GARZA
NIÑOS HEROES
PREESCOLAR CONAFE INDIGENA
5 DE FEBRERO
QUETZALCOATL
CENTRO DE ASISTENCIA INFANTIL EL NIDO
FAUSTINO MIRANDA GONZALEZ
ROSARIO CASTELLANOS FIGUEROA
SOR JUANA INES DE LA CRUZ
CUAUHTEMOC
PRIMARIA CONAFE INDIGENA
EL NIñO ARTILLERO
PREESCOLAR CONAFE INDIGENA
PREESCOLAR CONAFE INDIGENA
PRIMARIA CONAFE INDIGENA
"JARDIN   DE   NIÑOS   COMUNITARIO   SANTIAGO
GUELATAO"
JARDIN DE NIÑOS COMUNITARIO DIEGO RIVERA
PREESCOLAR CONAFE INDIGENA
BELISARIO DOMINGUEZ PALENCIA
BANDERA DE MEXICO
AGUSTIN MELGAR
FEDERICO FROEBEL
ANTONIO VIVALDI
GREGORIO TORRES QUINTERO
JOSE MARIA MORELOS
JAIME SABINES GUTIERREZ
"TELESECUNDARIA     1135     VALENTIN     GOMEZ
FARIAS"
FELIPE SANTIAGO XICOTENCATL
PREESCOLAR CONAFE INDIGENA
"TELESECUNDARIA      943      IGNACIO      MANUEL
ALTAMIRANO"
OSCAR WILDE
FRANCISCO INDALECIO MADERO
PREESCOLAR CONAFE INDIGENA
TELESECUNDARIA 1136 JEAN PIAGET
LAZARO CARDENAS DEL RIO
FRAY BARTOLOME DE LAS CASAS
PRIMARIA CONAFE INDIGENA
DR. BELISARIO DOMINGUEZ PALENCIA
NICOLAS BRAVO
AGUILA QUE CAE
IGNACIO ZARAGOZA
BENITO JUAREZ GARCIA
